Gene_Name	01OV007	01OV007_NM	01OV008_NM	01OV010_NM	01OV013_NM	01OV017	01OV017_NM	01OV018	01OV019_NM	01OV023	01OV023_NM	01OV024_NM	01OV026	01OV029	01OV029_NM	01OV030	01OV039	01OV039_NM	01OV041	02OV001_NM	02OV005	02OV006	02OV008	02OV015	02OV022	02OV023	02OV032	04OV001	04OV004	04OV005	04OV008	04OV011	04OV012	04OV013	04OV017	04OV018	04OV021	04OV023	04OV024	04OV027	04OV028	11OV002_NM	11OV010_NM	14OV011	14OV011_NM	14OV029_NM	15OV001	15OV001_NM	17OV001	17OV001_NM	17OV002	17OV002_NM	17OV003_NM	17OV004_NM	17OV005_NM	17OV014	17OV015	17OV018	17OV026
PGP	105670000.0	0.0	0.0	623130000.0	0.0	439780000.0	0.0	157650000.0	0.0	160890000.0	111530000.0	0.0	164910000.0	159970000.0	0.0	139300000.0	140510000.0	130600000.0	105410000.0	0.0	165450000.0	212080000.0	262540000.0	111120000.0	312330000.0	61074000.0	120010000.0	77073000.0	114050000.0	100830000.0	0.0	118260000.0	87071000.0	213210000.0	79526000.0	120550000.0	111640000.0	96670000.0	219240000.0	178620000.0	132410000.0	0.0	115420000.0	93445000.0	0.0	0.0	0.0	0.0	127740000.0	156830000.0	203320000.0	0.0	0.0	0.0	0.0	190400000.0	0.0	218320000.0	0.0
C5orf51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88332000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POM121B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24950000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POM121C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24950000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POM121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24950000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36098000.0	0.0	28411000.0	0.0	0.0	0.0	0.0	0.0	12400000.0	0.0	9643600.0	0.0	10390000.0	10898000.0	0.0	0.0	0.0	0.0	0.0	14137000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9906400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13344000.0
SDHAF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1573300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MROH6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185380000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGT3P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112030000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112030000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112030000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBAL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158050000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBLL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222190000.0	0.0	0.0	0.0	0.0	376420000.0	0.0	0.0	0.0	0.0	0.0	454820000.0	0.0	0.0	0.0	189870000.0	0.0	249010000.0	0.0	0.0	0.0	237300000.0	0.0	0.0	505440000.0	219810000.0	251360000.0	436490000.0	0.0	518070000.0	566270000.0	0.0	0.0	122710000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527810000.0
SMCHD1	93529000.0	0.0	0.0	0.0	0.0	203810000.0	103810000.0	292400000.0	151120000.0	118490000.0	112650000.0	0.0	244080000.0	491050000.0	87347000.0	0.0	435850000.0	0.0	59562000.0	0.0	226190000.0	230790000.0	147060000.0	135510000.0	48725000.0	218850000.0	106300000.0	221610000.0	263810000.0	97093000.0	144130000.0	43639000.0	222730000.0	90040000.0	130300000.0	106960000.0	144560000.0	118800000.0	167620000.0	157690000.0	128120000.0	0.0	185470000.0	307410000.0	0.0	0.0	144370000.0	158150000.0	244370000.0	215290000.0	151470000.0	0.0	119140000.0	0.0	0.0	145120000.0	128490000.0	123670000.0	148390000.0
CASTOR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28824000.0	0.0	0.0
NCF1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38722000.0	0.0	84780000.0	92007000.0	0.0	0.0	291710000.0	0.0	0.0	32992000.0	0.0	0.0	0.0	72156000.0	40475000.0	0.0	0.0	0.0	119110000.0	90728000.0	0.0	50569000.0	0.0	0.0	0.0	42803000.0	0.0	0.0	0.0	0.0	0.0	0.0	39140000.0	47916000.0	0.0	0.0	0.0	0.0	0.0	430930000.0	0.0	0.0	80444000.0	50365000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NCF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38722000.0	0.0	84780000.0	92007000.0	0.0	0.0	291710000.0	0.0	0.0	32992000.0	0.0	0.0	0.0	72156000.0	40475000.0	0.0	0.0	0.0	119110000.0	90728000.0	0.0	50569000.0	0.0	0.0	0.0	42803000.0	0.0	0.0	0.0	0.0	0.0	0.0	39140000.0	47916000.0	0.0	0.0	0.0	0.0	0.0	430930000.0	0.0	0.0	80444000.0	50365000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NCF1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38722000.0	0.0	84780000.0	92007000.0	0.0	0.0	291710000.0	0.0	0.0	32992000.0	0.0	0.0	0.0	72156000.0	40475000.0	0.0	0.0	0.0	119110000.0	90728000.0	0.0	50569000.0	0.0	0.0	0.0	42803000.0	0.0	0.0	0.0	0.0	0.0	0.0	39140000.0	47916000.0	0.0	0.0	0.0	0.0	0.0	430930000.0	0.0	0.0	80444000.0	50365000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNC119B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65526000.0	73885000.0	0.0	0.0	0.0	0.0	0.0	0.0	80967000.0	0.0	0.0	0.0	0.0	66530000.0	0.0	0.0	0.0	59278000.0	64387000.0	57960000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90001000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METTL15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14847000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
